Unnamed: 0,id,homeTacklesTotalHT,homeShotsTotalHT,awayDispossessedFT,awayPassSuccessFT,awayRatingsFT,awayDribbleSuccessFT,awayDribblesAttemptedHT,awayTeamLineUp,awayShotsBlockedHT,awayShotsTotalHT,homeDribbleSuccessHT,homeFoulsCommitedFT,homeAerialsTotalFT,homeRatingsHT,awayShotsOnTargetFT,awayShotsBlockedFT,homeInterceptionsHT,awayPossessionHT,homePassesKeyFT,awayShotsOnTargetHT,awayDribblesWonFT,awayTackleSuccessHT,homeCornersTotalFT,homeAerialsTotalHT,homeShotsBlockedFT,awayCornersTotalHT,homeCornersTotalHT,homeDribbleSuccessFT,homeTeamLineUp,awayPassSuccessHT,awayDribblesWonHT,homeDispossessedHT,awayAerialsTotalFT,homeShotsBlockedHT,awayPassesKeyFT,homeTackleSuccessHT,awayPassesKeyHT,homeFormation,awayInterceptionsHT,awayDispossessedHT,refereeName,homeDribblesWonHT,homePossessionFT,awayAerialsTotalHT,awayGoalHT,awayManagerName,awayInterceptionsFT,homeDribbledPastFT,homeGoalHT,awayDribbleSuccessHT,homeGoalFT,awayTacklesTotalHT,homeDribblesWonFT,awayTackleSuccessFT,awayTeam,homeDispossessedFT,awayOffsidesCaughtFT,awayDribbledPastFT,homeShotsOnTargetHT,awayFormation,awayOffsidesCaughtHT,homeDribbledPastHT,awayFoulsCommitedHT,homeShotsTotalFT,homePassSuccessFT,homeFoulsCommitedHT,awayCornersTotalFT,homeTeam,homeManagerName,awayFoulsCommitedFT,homeShotsOnTargetFT,homeDribblesAttemptedHT,awayRatingsHT,homeOffsidesCaughtHT,homeTacklesTotalFT,awayDribbledPastHT,awayGoalFT,homePassesKeyHT,homeOffsidesCaughtFT,homePossessionHT,venueName,awayDribblesAttemptedFT,homeInterceptionsFT,homePassSuccessHT,date,awayTacklesTotalFT,homeRatingsFT,homeDribblesAttemptedFT,homeTackleSuccessFT,awayPossessionFT,awayShotsTotalFT,division,winner,local_team_won,visitor_team_won,draw
5329,1,9,8,9,70.92,6.52,66.67,4,"Asier Riesgo,Oier,Rubén,Unai García,Nano,Francisco Silva,David Timor,Álvaro Cejudo,Emiliano Armenteros,Roberto Torres,Joseba Llorente",1,15,62.5,15,34,6.4,13,2,13,50.68,15,7,6,58.33,4,17,4,2,3,50,"Jesús Fernández,José Callejón,Ricardo Carvalho,Raúl Albiol,Álvaro Arbeloa,Luka Modric,Michael Essien,Ángel Di María,Mesut Özil,Karim Benzema,Gonzalo Higuaín",67.61,3,5,34,3,20,71.43,11,4231,14,5,Miguel Angel Pérez Lasa,5,48.39,17,0,José Luis Mendilibar,29,6,2,75,4,13,11,61.54,Osasuna,8,6,11,3,4231,1,3,4,18,67.89,4,5,Real Madrid,José Mourinho,12,9,8,6.24,2,18,5,2,6,3,49.32,Santiago Bernabéu,9,16,65.72,2013-06-01,30,6.76,22,68.75,51.61,26,La_Liga,1,1,0,0
5330,2,8,4,8,59.23,6.49,9.09,4,"Toño,Nyom,Pape Malickou Diakhaté,Borja Gómez,Guilherme Siqueira,Iriney,Mikel Rico,Gabriel Torje,Orellana,Dani Benítez,Youssef El-Arabi",3,8,50,7,43,6.39,1,4,2,39.45,11,0,1,70,4,27,1,2,2,40,"Dani Hernández,Antonio Rukavina,Peña,Jesús Rueda,Balenziaga,Víctor Pérez,Álvaro Rubio,Patrick Ebert,Óscar,Omar Ramos,Manucho",55.18,1,4,43,0,13,91.67,8,4231,9,4,Miguel Angel Pérez Lasa,3,61.79,27,0,Juan Antonio Anquela,17,1,0,25,1,10,4,77.78,Granada,8,1,4,0,4231,0,1,9,11,72.93,2,3,Valladolid,Miroslav Djukic,16,5,6,6.39,2,19,3,0,4,3,60.55,José Zorrilla,11,10,67.99,2012-11-24,19,6.62,11,97.06,38.21,14,La_Liga,1,1,0,0
5331,3,12,9,16,44.52,6.55,16.67,5,"Dudu Aouate,Nsue,Geromel,Anderson Conceicão,Pedro Bigas,Fontàs,Tomás Pina,Giovani dos Santos,Casadesús,Michael Pereira,Tomer Hemed",1,4,44.44,13,50,6.48,5,1,14,38.84,15,1,2,79.41,10,29,9,1,4,53.33,"David Cobeño,Tito,Jordi Amat,Rodri,Nacho,José Carlos,Roberto Trashorras,Javi Fuego,Piti,Alejandro Domínguez,Leo Baptistao",43,2,9,50,4,6,83.33,3,4411,6,7,Fernando Teixeira Vitienes,4,64.68,29,0,Joaquín Caparrós,14,2,0,37.5,2,18,8,75.81,Mallorca,17,4,8,1,4231,2,2,9,19,73.79,4,1,Rayo Vallecano,Paco Jémez,18,4,9,6.38,1,27,4,0,7,2,61.16,Campo de Fútbol de Vallecas,11,17,72.11,2012-11-24,32,6.65,15,92.86,35.32,9,La_Liga,1,1,0,0
5332,4,16,9,7,66.65,6.62,43.23,12,"Vicente Guaita,João Pereira,Jeremy Mathieu,Ricardo Costa,Aly Cissokho,Éver Banega,Daniel Parejo,David Albelda,Jonas,Roberto Soldado,Sergio Canales",2,8,65,14,23,6.2,7,3,3,34.29,17,3,12,54.76,9,13,4,1,5,63.33,"Andrés Palop,Cicinho,Cala,Fernando Navarro,Alberto Moreno,Gary Medel,Geoffrey Kondogbia,Jesús Navas,Ivan Rakitic,Diego Perotti,Álvaro Negredo",60.75,8,6,23,2,12,61.36,6,4231,15,4,Carlos Clos Gómez,9,60.43,13,1,Ernesto Valverde,18,12,2,60.71,4,19,12,55.56,Valencia,8,0,12,4,433,0,8,5,21,76.64,5,1,Sevilla,Unai Emery,11,9,13,6.7,1,32,9,3,6,2,65.71,Ramón Sánchez Pizjuán,25,11,74.2,2013-06-01,27,6.6,19,69.93,39.57,17,La_Liga,1,1,0,0
5333,5,10,3,13,74.34,6.44,75,6,"Eñaut Zubikarai,Carlos Martínez,Mikel González,Iñigo Martínez,Alberto De la Bella,Asier Illarramendi,Markel Bergara,Xabi Prieto,David Zurutuza,Antoine Griezmann,Imanol Agirretxe",4,5,50,18,34,6.44,4,7,10,58.62,6,1,17,72.22,4,17,0,1,3,25,"Kiko Casilla,Javi López,Diego Colotto,Héctor Moreno,Víctor Álvarez,Juan Forlín,Víctor Sánchez,Cristhian Stuani,Joan Verdú,Simão,Sergio García",74.42,3,4,34,0,10,66.67,2,4231,7,4,Pedro Jesús Pérez Montero,3,37.81,17,1,Philippe Montanier,15,17,2,50,2,10,3,86.11,Real Sociedad,7,2,3,2,4231,0,3,7,7,57.71,11,5,Espanyol,Javier Aguirre,19,4,6,6.2,0,35,3,2,3,1,41.38,Cornellá - El Prat,22,28,59.62,2013-03-31,19,6.56,12,55.56,62.19,15,La_Liga,0,0,0,1
5334,6,14,4,14,60.15,6.7,28.57,8,"Toño,Nyom,Diego Mainz,Íñigo López,Guilherme Siqueira,Gabriel Torje,Mikel Rico,Recio,Nolito,Youssef El-Arabi,Odion Ighalo",3,7,25,15,52,6.5,1,3,7,51.74,5,0,6,77.78,3,32,2,6,1,34.62,"Leo Franco,Cristian Sapunaru,Adam Pintér,Álvaro González,Abraham,José María Movilla,José Mari,Rubén Rochina,Víctor Rodríguez,Paco Montañés,Hélder Postiga",59.11,2,1,52,1,9,87.5,5,4231,9,6,Antonio Miguel Mateu Lahoz,2,48.26,32,0,Lucas Alcaraz,16,6,0,25,0,9,5,79.41,Granada,8,8,5,0,442,4,2,8,8,51.05,5,7,Zaragoza,Manolo Jiménez,18,3,8,6.44,3,32,2,0,2,3,48.26,La Romareda,18,15,51.43,2013-03-11,22,6.65,14,86.54,51.74,12,La_Liga,0,0,0,1
5335,7,15,9,11,72.43,6.35,34.38,10,"Gorka Iraizoz,Andoni Iraola,San José,Borja Ekiza,Aymeric Laporte,Ander Herrera,Iturraspe,Markel Susaeta,De Marcos,Ibai Gómez,Aduriz",1,6,39.58,14,22,6.73,1,1,11,56.75,13,1,6,77.78,8,11,6,3,5,40.35,"Moyá,Miguel Torres,Federico Fernández,Rafa,Sergio Escudero,Borja,Xavi Torres,Pedro León,Abdel Barrada,Diego Castro,Adrián Colunga",70.66,1,6,22,3,7,96.15,5,4231,9,5,Ignacio Iglesias Villanueva,5,42.11,11,0,Marcelo Bielsa,12,6,1,11.11,1,18,11,73.46,Athletic Club,10,3,11,4,4231,2,1,5,20,61.6,7,6,Getafe,Luis García,12,8,12,6.12,0,29,5,0,5,0,43.25,Coliseum Alfonso Pérez,18,21,62.46,2013-03-16,37,6.94,27,82,57.89,10,La_Liga,1,1,0,0
5336,8,10,7,13,50.81,6.93,66.67,6,"Kiko Casilla,Felipe Mattioni,Diego Colotto,Héctor Moreno,Joan Capdevila,Juan Forlín,Víctor Sánchez,Cristhian Stuani,Joan Verdú,Mubarak Wakaso,Sergio García",0,5,16.67,9,25,6.41,5,0,14,35.22,12,2,10,87.5,5,18,4,2,3,32.5,"Willy Caballero,Jesús Gámez,Weligton,Diego Lugano,Vitorino Antunes,Jérémy Toulalan,Ignacio Camacho,Lucas Piazon,Isco,Sebastián Fernández,Roque Santa Cruz",48.63,3,11,25,2,8,72.22,5,4231,11,4,Carlos del Cerro Grande,2,64.69,18,0,Javier Aguirre,17,10,0,50,0,23,7,75.93,Espanyol,16,2,7,2,4231,1,3,4,15,78.16,4,5,Malaga,Manuel Pellegrini,18,2,12,6.6,0,28,2,2,6,0,64.78,La Rosaleda,15,18,75.95,2013-03-17,37,6.37,21,66.67,35.31,9,La_Liga,2,0,1,0
5337,9,13,9,13,54.7,6.58,50,7,"Dudu Aouate,Alan Hutton,Nunes,Pedro Bigas,Kevin,Fernando Tissone,Tomás Pina,Nsue,Alejandro Alfaro,Giovani dos Santos,Casadesús",1,7,60,9,30,6.29,6,4,8,32.12,20,3,9,60.26,11,18,4,2,4,46.67,"Diego López,Álvaro Arbeloa,Raphael Varane,Sergio Ramos,Fábio Coentrão,Luka Modric,Pepe,Álvaro Morata,Kaká,Cristiano Ronaldo,Gonzalo Higuaín",45.19,3,5,30,2,13,80,7,4231,5,6,Antonio Miguel Mateu Lahoz,7,61.68,18,2,Gregorio Manzano,16,9,1,42.86,5,16,8,70.63,Mallorca,11,1,8,4,4231,1,3,9,24,84.83,3,4,Real Madrid,José Mourinho,11,13,11,6.53,1,30,7,2,7,1,67.88,Santiago Bernabéu,17,17,88.61,2013-03-16,27,6.76,16,75,38.32,15,La_Liga,1,1,0,0
5338,10,10,7,13,62.99,6.23,41.67,3,"Javi Varas,Jonny,Vadim Demidov,Andrés Túñez,Roberto Lago,Danijel Pranjic,Borja Oubiña,Augusto Fernández,Mario Bermejo,Enrique De Lucas,Iago Aspas",2,7,18.75,12,27,6.52,1,3,9,49.95,13,0,6,90,8,10,3,2,2,30.56,"Daniel Aranzubia,Manuel Pablo,Aythami,Carlos Marchena,Silvio,Abel Aguilar,Juan Domínguez,Bruno Gama,Juan Carlos Valerón,Pizzi,Riki",66.63,1,3,27,2,5,88.89,3,4231,7,7,Carlos Velasco Carballo,2,51.97,10,0,Abel Resino,13,6,1,33.33,3,14,8,78.99,Celta Vigo,7,5,8,3,4231,2,1,9,16,66.63,6,3,Deportivo,Fernando Vázquez,19,8,11,6.09,5,26,2,1,5,10,50.05,Municipal de Riazor,13,13,60.16,2013-03-15,31,6.76,24,81.75,48.03,10,La_Liga,1,1,0,0
